param_n_estimators,param_max_depth,param_min_samples_leaf,mean_test_score,std_test_score,rank_test_score,is_best_model
100,7,1,0.7325706752818044,0.00287143911011952,7,False
200,7,1,0.7330377447706107,0.0032724859433647157,6,False
100,7,2,0.7322029137209054,0.0025433495176566466,8,False
200,7,2,0.7330811213938133,0.0032363547733301424,5,False
100,10,1,0.8211818100372357,0.0034499414363909063,3,False
200,10,1,0.8219385362029754,0.0036201562925832213,1,True
100,10,2,0.8204606680944975,0.0034481515722261337,4,False
200,10,2,0.8213047401062685,0.0028908045845454145,2,False
