param_n_estimators,param_max_depth,param_min_samples_leaf,mean_test_score,std_test_score,rank_test_score,precision,recall,f1_score,accuracy,is_best_model
100,5,1,0.6786664107680129,0.0018224587687028268,5,0.9142141706281949,0.650993759385188,0.738456859995735,0.6509937593851881,False
200,5,1,0.6782866762150548,0.0022976410078605894,7,0.9142141706281949,0.650993759385188,0.738456859995735,0.6509937593851881,False
100,5,2,0.6786440309326353,0.002025329031592996,6,0.9142141706281949,0.650993759385188,0.738456859995735,0.6509937593851881,False
200,5,2,0.6782755291516515,0.002274397547196725,8,0.9142141706281949,0.650993759385188,0.738456859995735,0.6509937593851881,False
100,7,1,0.6845490519936976,0.0032687869796120426,4,0.9142141706281949,0.650993759385188,0.738456859995735,0.6509937593851881,False
200,7,1,0.6845525015018734,0.0027751228267689615,3,0.9142141706281949,0.650993759385188,0.738456859995735,0.6509937593851881,False
100,7,2,0.6846212646215329,0.0037237731388449916,2,0.9142141706281949,0.650993759385188,0.738456859995735,0.6509937593851881,False
200,7,2,0.6846262205662714,0.0028763113289212287,1,0.9142141706281949,0.650993759385188,0.738456859995735,0.6509937593851881,True
