param_n_estimators,param_learning_rate,param_max_depth,param_subsample,mean_test_score,std_test_score,rank_test_score,precision,recall,f1_score,accuracy,is_best_model
100,0.01,3,0.8,0.6724544681099205,0.0018115720911157762,15,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
100,0.01,3,1.0,0.6724221319329506,0.0023133910393284256,16,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
200,0.01,3,0.8,0.6793968506650402,0.0024499841800605564,13,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
200,0.01,3,1.0,0.6787971300400151,0.0022654538362441618,14,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
100,0.01,5,0.8,0.6840531536416701,0.002305697148201894,11,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
100,0.01,5,1.0,0.6829642134209131,0.0021885847469998517,12,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
200,0.01,5,0.8,0.687904860890265,0.0030561799379582965,9,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
200,0.01,5,1.0,0.6870143855314984,0.003481773403945582,10,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
100,0.1,3,0.8,0.6907039025094129,0.00340828572935561,7,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
100,0.1,3,1.0,0.6906644057568695,0.003939441346314768,8,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
200,0.1,3,0.8,0.69600695262933,0.004179299199823232,5,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
200,0.1,3,1.0,0.6952213376821362,0.003837441898530264,6,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
100,0.1,5,0.8,0.6988391350213661,0.00429240871538979,3,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
100,0.1,5,1.0,0.698226875674701,0.00462853032980197,4,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
200,0.1,5,0.8,0.7043440148279317,0.0041313421013033464,1,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,True
200,0.1,5,1.0,0.7031075413147182,0.003707601734537096,2,0.9172860161027532,0.6714399091028473,0.753967672231057,0.6714399091028473,False
